AG Part#,SKU,Name,Type,Source,Supplier Part #,Secondary Supplier Part #,Cost per,Purchase Unit,Usage Qty per Unit,Usage Unit,COGS per Unit,Order Date,Department,Secondary Source,Notes,Stock Item,Utilized In
550g,,Carbon Fiber vert attachment plate reinforcement 6 x 2 w/ holes,,,SHDUS0940-50,,,,,,,,PL2,,,No,
550s,,Carbon Fiber vert stabilizer bottom flange P6 21.25 x 12.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550r,,Carbon Fiber vert stabilizer bottom flange P7 21.25 x 11.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550q,,Carbon Fiber vert stabilizer bottom flange P8 21.25 x 10.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550u,,Carbon Fiber vertical stabilizer bottom flange P4 21.25  x 14.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550t,,Carbon Fiber vertical stabilizer bottom flange P5 21.25 x 13.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550(3),,Carbon Fiber vertical stabilizer leading edge seam 29 x 3,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550v,,Carbon Fiber vertical stabilizer top flange P10 15 x 6,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550(2),,Carbon Fiber vertical stabilizer top flange P4 15 x 12,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550(1),,Carbon Fiber vertical stabilizer top flange P5 15 x 11,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550z,,Carbon Fiber vertical stabilizer top flange P6 15 x 10,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550y,,Carbon Fiber vertical stabilizer top flange P7 15 x 9,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550x,,Carbon Fiber vertical stabilizer top flange P8 15 x 8,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550w,,Carbon Fiber vertical stabilizer top flange P9 15 x 7,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550(4),,Carbon Fiber vertical stabilizer trailing edge seam 23 x 3,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550n,,Carbon fiber vertical stabilizer bottom flange P10 21.25 x 8.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550p,,Carbon fiber vertical stabilizer bottom flange P9 21.25 x 9.5,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
550m,,Carbon fiber vertical stabilizer shell,,SHD,SHDUS0940-50,,,,,,,,PL2,,,No,
58,,Catalyst,,Sherwin Williams PO,V66V27,,,,,,,,PL1,,,No,
59,,Caution Post- yellow Do Not Enter,,Uline,H-5097,,,,,,,,Facilities,,,No,
336,,Certificate of Conformance,,N/A,N/A,,,,,,,,,,,No,
584,,Certificate of Conformance - Traceability,,Clearwater Composites,CofC Traceability,,,,,,,,,,,No,
60,,Chair- mesh back- office task,,Uline,H-3642,,,,,,,,Facilities,,,No,
571,,Chalk,,,,,,,,,,,,,,No,
65,,Coffee Creamer- N'Joy Non-Dairy,,Amazon,,,,,,,,,Facilities,,,No,
66,,Collet Screw On Adaptor ED20 Zeta,,T-Tool,SCHED20Zeta,,,,,,,,PL3,,,No,
67,,Collet- ER-16- 3/16,,McMaster,3215A306,,,,,,,,PL3,,,No,
68,,Collet- ER-16- 3/8,,McMaster,3215A313,,,,,,,,PL3,,,No,
69,,Collet- ER-25- 1/2,,McMaster,3669N26,,,,,,,,PL3,,,No,
70,,Collet- ER-25- 1/4,,McMaster,3669N17,,,,,,,,PL3,,,No,
71,,Collet- ER-25- 3/8,,McMaster,3669N22,,,,,,,,PL3,,,No,
72,,Collet- ER-32- 1/2,,McMaster,3321A18,,,,,,,,PL3,,,No,
73,,Collet- ER-32- 3/8,,McMaster,3321A16,,,,,,,,PL3,,,No,
74,,Collet- ER16- 1/4,,McMaster,3215A308,,,,,,,,PL3,,,No,
75,,Compressor Oil- Smartoil 6000 synthetic 8000 hrs.,,Hertz Kompressoren USA,,,,,,,,,Facilities,,,No,
77,,Cups and Lids (3M),,English Color,16000,,,,,,,,PL1,,,No,
78,,Cups- 16 oz clear,,Uline,S-22276,,,,,,,,Facilities,,,No,
79,,Cups- 9 oz clear (short),,Uline,S-22273,,,,,,,,PL1,PL2,,No,
80,,Cutting Table Blades- medium mkt for ttc,,Gunnar,PT-GZ16,,,,,,,,PL1,PL2,,No,
544,,Cutting table servo motor driver for Novex,,Gunnar,PT-102291,,,,,,,,Services,,,No,
82,,Deburring Blades (10 piece set),,Amazon,7.38771E+11,,,,,,,,PL1,,,No,
83,,Deluxe Folding Table - 48 x 24,,Uline,H-3137AGR,,,,,,,,Facilities,,,No,
85,,Digital Caliper,,McMaster,8647A42,,,,,,,,Facilities,,,No,
86,,Dish Detergent- Dawn,,American Paper & Twine,744896,,,,,,,,Facilities,,,No,
89,,Disinfectant- spray- Lysol,,Walmart,036241046750,,,,,,,,Facilities,,,No,
92,,Disposable Mask,,Uline,S-22137,,,,,,,,Facilities,,,No,
90,,Disposable Protective Coat- Tyvex,,McMaster,5593T11,,,,,,,,Facilities,Uline,S-9647B-L,No,
